Incident Number,Incident Title,Incident Description,Assigned Team,Resolution,Product Category,Priority,SLA Time,Incident Date,Resolution Date,Days to Resolve
INC00412,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Networking,High,24 Hours,2023-12-16,2023-12-20,4
INC00413,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Resolved,Hardware,High,24 Hours,2023-12-25,2024-01-09,15
INC00414,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Software,High,24 Hours,2023-12-26,2024-01-01,6
INC00415,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Resolved,Hardware,High,24 Hours,2023-12-14,2023-12-24,10
INC00416,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Software,Low,1 Week,2023-12-21,2023-12-23,2
INC00417,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Software,Critical,4 Hours,2024-01-06,2024-01-10,4
INC00418,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Networking,High,24 Hours,2023-12-26,2024-01-06,11
INC00419,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Storage,Critical,4 Hours,2023-12-21,2023-12-28,7
INC00420,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Software,High,24 Hours,2023-12-22,2024-01-06,15
INC00421,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Networking,Critical,4 Hours,2024-01-04,2024-01-09,5
INC00422,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Pending,Hardware,High,24 Hours,2023-12-18,2024-01-02,15
INC00423,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Storage,Medium,3 Days,2023-12-31,2024-01-08,8
INC00424,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Networking,Medium,3 Days,2023-12-22,2023-12-27,5
INC00425,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Closed,Hardware,High,24 Hours,2023-12-21,2023-12-31,10
INC00426,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Software,Medium,3 Days,2023-12-22,2024-01-05,14
INC00427,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Networking,Low,1 Week,2023-12-21,2023-12-30,9
INC00428,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Networking,Low,1 Week,2024-01-03,2024-01-13,10
INC00429,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Storage,Critical,4 Hours,2024-01-01,2024-01-05,4
INC00430,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Escalated,Hardware,Critical,4 Hours,2024-01-09,2024-01-11,2
INC00431,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Networking,Low,1 Week,2023-12-10,2023-12-19,9
INC00432,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Networking,Critical,4 Hours,2023-12-18,2023-12-29,11
INC00433,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Storage,High,24 Hours,2023-12-26,2024-01-06,11
INC00434,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Hardware,Medium,3 Days,2023-12-27,2024-01-08,12
INC00435,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Software,Critical,4 Hours,2023-12-17,2023-12-18,1
INC00436,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Software,Low,1 Week,2023-12-22,2023-12-26,4
INC00437,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Networking,Critical,4 Hours,2023-12-13,2023-12-27,14
INC00438,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Storage,High,24 Hours,2023-12-21,2023-12-30,9
INC00439,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Software,Medium,3 Days,2023-12-31,2024-01-06,6
INC00440,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Storage,High,24 Hours,2023-12-26,2024-01-04,9
INC00441,Software Installation Error,Error encountered during the installation of software X.,Team A,Escalated,Storage,Medium,3 Days,2023-12-25,2023-12-26,1
INC00442,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Pending,Hardware,High,24 Hours,2023-12-17,2023-12-24,7
INC00443,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Storage,Critical,4 Hours,2023-12-30,2024-01-09,10
INC00444,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Software,Low,1 Week,2023-12-11,2023-12-16,5
INC00445,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Software,Low,1 Week,2023-12-22,2023-12-30,8
INC00446,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Networking,Low,1 Week,2024-01-02,2024-01-14,12
INC00447,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Closed,Hardware,Low,1 Week,2023-12-15,2023-12-16,1
INC00448,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Storage,Low,1 Week,2024-01-04,2024-01-18,14
INC00449,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Networking,Medium,3 Days,2023-12-19,2023-12-28,9
INC00450,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Networking,Low,1 Week,2023-12-16,2023-12-28,12
INC00451,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Resolved,Hardware,Low,1 Week,2023-12-22,2023-12-29,7
INC00452,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Storage,Critical,4 Hours,2023-12-29,2023-12-31,2
INC00453,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Software,Low,1 Week,2023-12-11,2023-12-22,11
INC00454,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Software,Low,1 Week,2024-01-08,2024-01-11,3
INC00455,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Software,High,24 Hours,2023-12-26,2024-01-09,14
INC00456,Software Installation Error,Error encountered during the installation of software X.,Team A,Escalated,Storage,Critical,4 Hours,2023-12-13,2023-12-28,15
INC00457,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Software,High,24 Hours,2024-01-07,2024-01-08,1
INC00458,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Storage,Low,1 Week,2023-12-12,2023-12-23,11
INC00459,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Networking,Medium,3 Days,2023-12-18,2023-12-24,6
INC00460,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Networking,Medium,3 Days,2023-12-21,2023-12-31,10
INC00461,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Storage,High,24 Hours,2023-12-15,2023-12-25,10
INC00462,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Software,Medium,3 Days,2023-12-26,2023-12-30,4
INC00463,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Networking,Low,1 Week,2024-01-06,2024-01-11,5
INC00464,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Resolved,Hardware,High,24 Hours,2023-12-21,2024-01-04,14
INC00465,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Hardware,Critical,4 Hours,2024-01-06,2024-01-06,0
INC00466,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Escalated,Hardware,High,24 Hours,2023-12-19,2023-12-19,0
INC00467,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Resolved,Hardware,Critical,4 Hours,2023-12-12,2023-12-22,10
INC00468,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Software,Medium,3 Days,2023-12-26,2023-12-31,5
INC00469,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Networking,Low,1 Week,2024-01-03,2024-01-08,5
INC00470,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Networking,High,24 Hours,2023-12-19,2023-12-29,10
INC00471,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Storage,Medium,3 Days,2024-01-04,2024-01-13,9
INC00472,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Storage,Medium,3 Days,2023-12-25,2024-01-05,11
INC00473,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Storage,Low,1 Week,2023-12-26,2023-12-29,3
INC00474,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Resolved,Hardware,Critical,4 Hours,2023-12-10,2023-12-19,9
INC00475,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Storage,Critical,4 Hours,2023-12-11,2023-12-20,9
INC00476,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Storage,Low,1 Week,2023-12-17,2023-12-17,0
INC00477,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Networking,Low,1 Week,2024-01-05,2024-01-09,4
INC00478,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Software,Medium,3 Days,2024-01-08,2024-01-11,3
INC00479,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Networking,High,24 Hours,2024-01-03,2024-01-05,2
INC00480,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Storage,Low,1 Week,2023-12-12,2023-12-22,10
INC00481,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Networking,Medium,3 Days,2023-12-19,2023-12-30,11
INC00482,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Storage,High,24 Hours,2024-01-05,2024-01-17,12
INC00483,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Networking,Medium,3 Days,2023-12-27,2023-12-30,3
INC00484,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Networking,Medium,3 Days,2024-01-09,2024-01-12,3
INC00485,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Networking,Medium,3 Days,2024-01-02,2024-01-16,14
INC00486,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Resolved,Hardware,Low,1 Week,2024-01-08,2024-01-13,5
INC00487,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Storage,Medium,3 Days,2023-12-31,2024-01-08,8
INC00488,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Software,Critical,4 Hours,2024-01-05,2024-01-16,11
INC00489,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Storage,High,24 Hours,2023-12-17,2024-01-01,15
INC00490,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Networking,Medium,3 Days,2024-01-08,2024-01-19,11
INC00491,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Pending,Hardware,Critical,4 Hours,2023-12-11,2023-12-25,14
INC00492,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Software,High,24 Hours,2023-12-27,2024-01-09,13
INC00493,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Storage,Critical,4 Hours,2023-12-10,2023-12-21,11
INC00494,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Closed,Hardware,High,24 Hours,2024-01-02,2024-01-09,7
INC00495,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Software,Low,1 Week,2023-12-25,2024-01-06,12
INC00496,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Storage,Critical,4 Hours,2024-01-03,2024-01-17,14
INC00497,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Storage,Medium,3 Days,2024-01-04,2024-01-05,1
INC00498,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Escalated,Hardware,Low,1 Week,2024-01-08,2024-01-20,12
INC00499,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Storage,High,24 Hours,2024-01-02,2024-01-10,8
INC00500,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Escalated,Hardware,High,24 Hours,2023-12-24,2023-12-31,7
INC00501,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Pending,Hardware,Medium,3 Days,2023-12-23,2024-01-01,9
INC00502,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Networking,Low,1 Week,2023-12-13,2023-12-16,3
INC00503,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Storage,Critical,4 Hours,2023-12-25,2024-01-03,9
INC00504,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Software,Medium,3 Days,2023-12-31,2024-01-11,11
INC00505,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Networking,Medium,3 Days,2023-12-11,2023-12-21,10
INC00506,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Storage,Medium,3 Days,2023-12-14,2023-12-25,11
INC00507,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Networking,High,24 Hours,2023-12-26,2023-12-31,5
INC00508,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Networking,Low,1 Week,2023-12-28,2024-01-05,8
INC00509,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Software,Medium,3 Days,2024-01-04,2024-01-14,10
INC00510,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Software,High,24 Hours,2023-12-23,2024-01-05,13
INC00511,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Software,Low,1 Week,2023-12-18,2023-12-29,11
INC00512,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Software,Critical,4 Hours,2024-01-06,2024-01-09,3
INC00513,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Networking,Medium,3 Days,2024-01-02,2024-01-11,9
INC00514,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Pending,Hardware,High,24 Hours,2023-12-12,2023-12-12,0
INC00515,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Software,Medium,3 Days,2023-12-14,2023-12-24,10
INC00516,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Storage,Low,1 Week,2023-12-29,2023-12-31,2
INC00517,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Storage,Critical,4 Hours,2023-12-23,2024-01-05,13
INC00518,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Pending,Hardware,High,24 Hours,2024-01-02,2024-01-06,4
INC00519,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Escalated,Hardware,Low,1 Week,2023-12-16,2023-12-23,7
INC00520,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Pending,Hardware,Low,1 Week,2023-12-22,2023-12-29,7
INC00521,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Software,Medium,3 Days,2023-12-11,2023-12-25,14
INC00522,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Software,Low,1 Week,2023-12-25,2023-12-26,1
INC00523,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Storage,High,24 Hours,2024-01-07,2024-01-21,14
INC00524,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Networking,High,24 Hours,2024-01-04,2024-01-10,6
INC00525,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Escalated,Hardware,Medium,3 Days,2023-12-29,2024-01-04,6
INC00526,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Storage,High,24 Hours,2023-12-11,2023-12-11,0
INC00527,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Storage,High,24 Hours,2024-01-06,2024-01-12,6
INC00528,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Pending,Hardware,Critical,4 Hours,2023-12-19,2023-12-25,6
INC00529,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Software,Medium,3 Days,2023-12-15,2023-12-30,15
INC00530,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Networking,Medium,3 Days,2023-12-19,2023-12-28,9
INC00531,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Networking,Critical,4 Hours,2023-12-29,2024-01-12,14
INC00532,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Storage,Medium,3 Days,2023-12-20,2023-12-22,2
INC00533,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Networking,Low,1 Week,2024-01-03,2024-01-03,0
INC00534,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Networking,Critical,4 Hours,2023-12-20,2023-12-22,2
INC00535,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Closed,Hardware,Medium,3 Days,2023-12-16,2023-12-27,11
INC00536,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Networking,Medium,3 Days,2024-01-06,2024-01-19,13
INC00537,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Storage,Medium,3 Days,2023-12-21,2024-01-04,14
INC00538,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Networking,Medium,3 Days,2024-01-06,2024-01-12,6
INC00539,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Closed,Hardware,Critical,4 Hours,2024-01-04,2024-01-12,8
INC00540,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Pending,Hardware,Medium,3 Days,2023-12-18,2023-12-27,9
INC00541,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Pending,Hardware,High,24 Hours,2023-12-10,2023-12-11,1
INC00542,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Pending,Hardware,High,24 Hours,2023-12-26,2024-01-10,15
INC00543,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Storage,Critical,4 Hours,2023-12-17,2023-12-26,9
INC00544,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Software,High,24 Hours,2023-12-26,2023-12-30,4
INC00545,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Software,Critical,4 Hours,2024-01-06,2024-01-11,5
INC00546,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Networking,High,24 Hours,2023-12-10,2023-12-19,9
INC00547,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Hardware,Critical,4 Hours,2023-12-31,2024-01-07,7
INC00548,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Resolved,Hardware,Medium,3 Days,2023-12-31,2024-01-01,1
INC00549,Software Installation Error,Error encountered during the installation of software X.,Team A,Escalated,Networking,Low,1 Week,2024-01-07,2024-01-10,3
INC00550,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Pending,Hardware,Medium,3 Days,2023-12-26,2024-01-04,9
INC00551,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Closed,Hardware,Low,1 Week,2023-12-28,2023-12-30,2
INC00552,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Closed,Hardware,High,24 Hours,2023-12-25,2024-01-02,8
INC00553,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Storage,Critical,4 Hours,2024-01-01,2024-01-02,1
INC00554,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Resolved,Hardware,Critical,4 Hours,2023-12-10,2023-12-17,7
INC00555,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Software,Low,1 Week,2023-12-25,2023-12-27,2
INC00556,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Software,Low,1 Week,2023-12-27,2024-01-05,9
INC00557,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Networking,Critical,4 Hours,2023-12-11,2023-12-19,8
INC00558,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Networking,Medium,3 Days,2023-12-20,2023-12-30,10
INC00559,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Software,High,24 Hours,2023-12-16,2023-12-18,2
INC00560,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Pending,Hardware,High,24 Hours,2023-12-19,2024-01-01,13
INC00561,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Storage,Critical,4 Hours,2024-01-07,2024-01-12,5
INC00562,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Software,Low,1 Week,2023-12-15,2023-12-20,5
INC00563,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Resolved,Hardware,Low,1 Week,2023-12-31,2024-01-14,14
INC00564,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Networking,Low,1 Week,2024-01-01,2024-01-12,11
INC00565,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Storage,Critical,4 Hours,2023-12-21,2024-01-03,13
INC00566,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Software,Low,1 Week,2023-12-29,2024-01-13,15
INC00567,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Networking,Low,1 Week,2024-01-04,2024-01-14,10
INC00568,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Storage,Low,1 Week,2023-12-12,2023-12-26,14
INC00569,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Networking,Medium,3 Days,2023-12-23,2024-01-05,13
INC00570,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Software,Critical,4 Hours,2023-12-22,2023-12-24,2
INC00571,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Storage,High,24 Hours,2024-01-04,2024-01-04,0
INC00572,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Networking,Critical,4 Hours,2024-01-09,2024-01-23,14
INC00573,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Resolved,Hardware,Medium,3 Days,2024-01-09,2024-01-15,6
INC00574,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Storage,High,24 Hours,2024-01-02,2024-01-10,8
INC00575,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Closed,Hardware,Critical,4 Hours,2024-01-06,2024-01-19,13
INC00576,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Closed,Hardware,Low,1 Week,2023-12-25,2023-12-28,3
INC00577,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Software,Medium,3 Days,2024-01-02,2024-01-03,1
INC00578,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Networking,Medium,3 Days,2023-12-14,2023-12-29,15
INC00579,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Software,Critical,4 Hours,2023-12-28,2023-12-30,2
INC00580,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Pending,Hardware,High,24 Hours,2024-01-09,2024-01-10,1
INC00581,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Networking,High,24 Hours,2023-12-16,2023-12-16,0
INC00582,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Storage,High,24 Hours,2023-12-26,2024-01-10,15
INC00583,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Software,High,24 Hours,2023-12-17,2023-12-20,3
INC00584,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Storage,Low,1 Week,2023-12-16,2023-12-30,14
INC00585,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Storage,Medium,3 Days,2023-12-21,2023-12-30,9
INC00586,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Storage,Critical,4 Hours,2023-12-11,2023-12-16,5
INC00587,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Storage,High,24 Hours,2023-12-23,2024-01-06,14
INC00588,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Networking,Critical,4 Hours,2023-12-21,2023-12-23,2
INC00589,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Storage,Critical,4 Hours,2024-01-03,2024-01-04,1
INC00590,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Networking,Medium,3 Days,2023-12-12,2023-12-24,12
INC00591,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Escalated,Hardware,Low,1 Week,2023-12-21,2023-12-27,6
INC00592,Software Installation Error,Error encountered during the installation of software X.,Team D,Pending,Software,High,24 Hours,2024-01-01,2024-01-10,9
INC00593,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Resolved,Hardware,High,24 Hours,2024-01-07,2024-01-21,14
INC00594,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Networking,High,24 Hours,2024-01-06,2024-01-16,10
INC00595,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Storage,High,24 Hours,2023-12-21,2024-01-04,14
INC00596,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Closed,Hardware,Critical,4 Hours,2023-12-23,2024-01-06,14
INC00597,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Networking,High,24 Hours,2023-12-16,2023-12-19,3
INC00598,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Escalated,Hardware,Critical,4 Hours,2023-12-24,2024-01-02,9
INC00599,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Software,Critical,4 Hours,2024-01-05,2024-01-14,9
INC00600,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Escalated,Hardware,Low,1 Week,2023-12-29,2024-01-03,5
INC00601,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Hardware,Medium,3 Days,2024-01-03,2024-01-17,14
INC00602,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Pending,Hardware,Low,1 Week,2023-12-20,2023-12-21,1
INC00603,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Software,High,24 Hours,2024-01-06,2024-01-21,15
INC00604,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Storage,Critical,4 Hours,2023-12-17,2023-12-19,2
INC00605,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Pending,Hardware,Medium,3 Days,2023-12-12,2023-12-19,7
INC00606,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Storage,Medium,3 Days,2023-12-10,2023-12-20,10
INC00607,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Networking,High,24 Hours,2024-01-01,2024-01-10,9
INC00608,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Networking,Low,1 Week,2024-01-05,2024-01-13,8
INC00609,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Storage,High,24 Hours,2023-12-27,2024-01-09,13
INC00610,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Pending,Hardware,High,24 Hours,2024-01-09,2024-01-11,2
INC00611,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Closed,Hardware,Medium,3 Days,2024-01-08,2024-01-15,7
INC00612,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Software,High,24 Hours,2023-12-25,2024-01-05,11
INC00613,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Software,Medium,3 Days,2023-12-30,2024-01-08,9
INC00614,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Networking,Critical,4 Hours,2023-12-26,2024-01-08,13
INC00615,Software Installation Error,Error encountered during the installation of software X.,Team A,Escalated,Storage,Low,1 Week,2024-01-02,2024-01-06,4
INC00616,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Storage,Medium,3 Days,2024-01-05,2024-01-18,13
INC00617,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Software,Medium,3 Days,2023-12-24,2024-01-05,12
INC00618,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Resolved,Hardware,High,24 Hours,2023-12-18,2023-12-22,4
